DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Venerdì,visitor,222,27,27005,376
Domenica,visitor,222,10,10054,32
Mercoledì,visitor,222,15,15002,140
Domenica,visitor,222,54,54012,48
Domenica,visitor,222,73,73026,32
Venerdì,visitor,222,30,30026,228
Sabato,visitor,222,22,22088,36
Sabato,visitor,222,38,38018,172
Mercoledì,visitor,222,16,16079,80
Venerdì,visitor,222,52,52016,60
Lunedì,visitor,222,23,23082,416
Venerdì,visitor,222,27,27022,240
Domenica,visitor,222,24,24088,384
Martedì,visitor,222,29,29037,304
Sabato,visitor,222,25,25039,220
Martedì,visitor,222,35,35036,108
Sabato,visitor,222,24,24002,132
Lunedì,visitor,222,24,24111,748
Venerdì,visitor,222,15,15242,108
Lunedì,visitor,222,25,25048,140
Venerdì,visitor,222,23,23087,112
Venerdì,visitor,222,15,15178,48
Venerdì,visitor,222,93,93043,100
Venerdì,visitor,222,93,93040,116
Mercoledì,visitor,222,23,23007,124
Martedì,visitor,222,17,17113,152
Giovedì,visitor,222,50,50026,364
Domenica,visitor,222,58,58059,40
Domenica,visitor,222,30,30038,72
Martedì,visitor,222,108,108028,276
Venerdì,visitor,222,1,1120,60
Giovedì,visitor,222,90,90064,208
Domenica,visitor,222,49,49009,440
Mercoledì,visitor,222,61,61053,32
Sabato,visitor,222,22,22201,160
Martedì,visitor,222,30,30023,160
Domenica,visitor,222,110,110001,116
Giovedì,visitor,222,24,24030,272
Mercoledì,visitor,222,49,49014,44
Domenica,visitor,222,75,75031,52
Domenica,visitor,222,71,71020,104
Lunedì,visitor,222,25,25010,36
Lunedì,visitor,222,26,26015,108
Lunedì,visitor,222,12,12075,84
Giovedì,visitor,222,24,24063,56
Martedì,visitor,222,16,16059,32
Venerdì,visitor,222,34,34023,100
Domenica,visitor,222,67,67035,44
Venerdì,visitor,222,30,30057,120
Sabato,visitor,222,52,52028,60
Martedì,visitor,222,38,38001,232
Domenica,visitor,222,25,25040,216
Mercoledì,visitor,222,24,24098,268
Sabato,visitor,222,27,27034,188
Mercoledì,visitor,222,65,65016,52
Giovedì,visitor,222,15,15086,80
Sabato,visitor,222,30,30097,36
Mercoledì,visitor,222,98,98031,188
Domenica,visitor,222,58,58003,76
Sabato,visitor,222,23,23070,160
Mercoledì,visitor,222,47,47002,32
Venerdì,visitor,222,40,40045,76
Venerdì,visitor,222,23,23004,328
